FIPS,County or equivalent,State or equivalent,OBJECTID,GEOID10,GEOID20,TRACTCE,BLKGRPCE,CSA,CBSA,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2C_TRIPEQ,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4D,D4E,D5AE,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
1001,Autauga County,Alabama,22191.5625,10010206443.0,10010206443.0,20644.0625,1.96875,388.0,33860.0,373589.0,165393.0,149732.0,12087.12119,198.5059395,11888.61525,11661.21201,1725.0,728.59375,659.84375,0.59875,37.21875,0.06480232,187.125,0.272341397,435.5,0.662856283,704.0625,161.5,253.6875,288.875,0.230802754,379.78125,0.573613233,1.331898137,0.479541441,0.090118294,0.09153107199999999,0.081586966,0.135019637,0.081285472,0.090118294,0.029031076,0.081586966,0.032144622000000005,0.081285472,0.04243214,0.060442875,0.062499997,1.053154674,0.0,0.31652639,6.720463961,0.649016661,1.144550878,4.9268964219999996,21.82502385,2.261241146,4.298580693,1.266239295,20.28273855,4.163044615,-99999.0,-99999.0,-99999.0,11970.6875,-99999.0,0.00167699,0.260154121,0.002089454,0.368283519,-99999.0,-99999.0,-99999.0,-99999.0,5.4375,1.0,5.234375,27197.72691,48915912.23
1003,Baldwin County,Alabama,22326.7766,10030214332.0,10030214332.0,21432.95745,2.0957446809999998,380.0,19300.0,208107.0,71760.0,82909.0,13802.38171,2978.2933239999998,10824.08839,9921.00224,2213.904255,1190.9042550000001,836.4042552999999,0.55256383,28.77659574,0.040567415,274.0851064,0.324283113,533.5425531999999,0.624511174,882.0106383,212.48936170000002,312.23404260000007,357.287234,0.24264009600000003,763.4042552999999,0.621786234,1.006400951,0.48133490700000003,0.071566678,0.065961555,0.073236227,0.167640749,0.10292969800000001,0.071566678,0.032636697,0.073236227,0.049686285999999996,0.10292969800000001,0.025564514,0.09238994800000001,0.033672057000000005,1.103121141,0.010638298000000001,0.469400834,6.515856307999999,0.552825174,1.763186804,4.19984433,21.22063567,1.286221342,5.8756092660000006,1.37049281,15.54009152,5.5658704310000005,-99999.0,-99999.0,-99999.0,7550.265957,-99999.0,0.010638298000000001,0.36030191899999997,0.010638298000000001,0.389510212,-99999.0,-99999.0,-99999.0,-99999.0,5.659574468,1.0,6.45035461,31918.253189999996,55857470.61
1005,Barbour County,Alabama,23269.47826,10059504828.0,10059504828.0,950482.6087,1.8260869569999998,,21640.0,28058.0,8235.0,10514.0,25168.56766,542.7950405,24625.77262,23230.144930000002,1120.9565220000002,519.0,399.3913043,0.583869565,36.91304348,0.09928680599999999,142.3913043,0.341969411,220.08695649999999,0.5587437829999999,424.82608700000003,111.9565217,185.3913043,127.47826090000002,0.263667082,340.26086960000004,0.26586090100000004,0.519423867,0.251708954,0.031821378,0.038750664,0.054087521,0.07690222099999999,0.05014717,0.031821378,0.01348773,0.054087521,0.032172987,0.05014717,0.006463457,0.038265777,0.025262934,0.517569855,0.0,0.383299557,4.188878692,0.260031915,1.147073768,2.7817730089999997,13.60289856,0.512153081,2.445894984,1.5533987219999998,11.67677073,2.629681808,-99999.0,-99999.0,-99999.0,1636.608696,-99999.0,0.042509427,0.570333461,0.042036542,0.62705314,-99999.0,-99999.0,-99999.0,-99999.0,3.6956521739999997,1.0,5.188405797,48536.77328,101855806.5
1007,Bibb County,Alabama,22410.06667,10070100032.0,10070100032.0,10002.93333,2.666666667,142.0,13820.0,1082561.0,492995.0,454267.0,26715.950630000003,158.1784128,26557.77222,21208.65203,1501.8,610.7333332999999,456.0,0.5646,27.33333333,0.075589897,131.2,0.275066359,297.46666669999996,0.649343744,509.86666669999994,110.86666670000001,203.4666667,195.5333333,0.217917731,268.46666669999996,0.080343971,0.186856718,0.051145719000000006,0.005842894,0.004095112,0.011799525,0.021670863,0.007737325,0.005842894,0.001807619,0.011799525,0.0029108040000000003,0.007737325,0.008210335,0.010549724,0.002287493,0.131489691,0.0,0.33317474,3.070908396,0.39053380600000004,1.379988478,1.300386112,6.044900537999999,1.009061118,3.135017781,0.190960603,4.721467055,0.613664549,-99999.0,-99999.0,-99999.0,5876.2,-99999.0,0.00015387,0.048188587000000005,0.000202598,0.081482611,-99999.0,-99999.0,-99999.0,-99999.0,3.133333333,1.0,5.033333333,50642.36883,108117976.9
1009,Blount County,Alabama,23290.57143,10090503895.0,10090503895.0,50389.285710000004,2.6,142.0,13820.0,1082561.0,492995.0,454267.0,11896.942490000001,106.009197,11790.93329,11780.15427,1647.0,692.0571428999999,588.5714286,0.569914286,24.45714286,0.040743736,154.88571430000002,0.264806234,409.22857139999996,0.69445003,657.0857143,133.4,242.4571429,281.22857139999996,0.204223287,237.17142859999998,0.07738676,0.18702125,0.033550459,0.0046194240000000004,0.002777155,0.010153488,0.012312171,0.0036882209999999998,0.0046194240000000004,0.001949154,0.010153488,0.005046075,0.0036882209999999998,0.003004885,0.004261211,0.0008280010000000001,0.110937219,0.0,0.369477203,3.1808663669999997,0.28069589300000003,1.944995901,0.955174572,5.04210752,0.611264728,3.760633407,0.324338423,2.4270121330000003,0.590609522,-99999.0,-99999.0,-99999.0,7521.285714,-99999.0,0.000168718,0.052838870999999996,0.000259316,0.104294272,-99999.0,-99999.0,-99999.0,-99999.0,3.542857143,1.0,4.666666667,39045.74394,48146269.33
1011,Bullock County,Alabama,21808.71429,10119523145.0,10119523145.0,952314.2857,1.857142857,,,0.0,0.0,0.0,57154.72939,213.1446829,56941.5847,56441.081979999995,1478.857143,646.5714286,515.5714286,0.634285714,60.42857143,0.101678534,167.4285714,0.31935972100000004,287.7142857,0.578961745,545.4285714,140.8571429,275.7142857,128.8571429,0.251932023,438.57142860000005,0.015165086000000001,0.036329569,0.010814698999999999,0.000853331,0.0014628479999999999,0.00443898,0.0037499029999999997,0.00030963599999999996,0.000853331,0.000318142,0.00443898,0.00086807,0.00030963599999999996,0.0008490339999999999,0.0020328,0.001144707,0.025979785,0.0,0.321187061,1.280548823,0.222962175,0.770227907,0.287358742,1.114978245,0.284037059,0.9055304540000001,0.06787128099999999,0.507409334,0.104676125,-99999.0,-99999.0,-99999.0,2063.0,-99999.0,0.0,0.0,0.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,1.571428571,1.0,3.976190476,78263.78251,231302039.8
1013,Butler County,Alabama,23865.10526,10139531054.0,10139531054.0,953105.2632,1.736842105,,,0.0,0.0,0.0,26201.75218,35.12979083,26166.62239,26166.62239,1053.9473679999999,527.6842105000001,353.0526316,0.5603684210000001,27.36842105,0.074809639,124.0,0.34445872899999996,201.6842105,0.580731632,439.05263160000004,119.63157890000001,190.15789469999999,129.2631579,0.276013871,352.10526319999997,0.19930787,0.45339444799999995,0.119080967,0.011853093,0.014883028999999999,0.035277852,0.053748638,0.003318355,0.011853093,0.007470144000000001,0.035277852,0.022505182000000002,0.003318355,0.016647095,0.014596362,0.007412885,0.318388837,0.0,0.32349259,3.762174621,0.400699094,1.02928551,2.332190017,10.84992891,0.724674898,2.047312871,0.47428230000000005,9.143582051000001,2.9113196930000003,-99999.0,-99999.0,-99999.0,1853.315789,-99999.0,0.0,0.0,0.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,3.421052632,1.0,4.956140351,43651.54934,106037045.5
1015,Calhoun County,Alabama,23376.3956,10150338930.0,10150338930.0,33892.78022,2.21978022,,11500.0,115098.0,41495.0,41769.0,4306.009295000001,45.04060597,4260.968689,3834.6886369999997,1264.813187,589.9120879,494.86813190000004,0.570945055,28.56043956,0.063751578,150.956044,0.297868419,315.3516484,0.60541297,459.0,114.21978020000002,183.3736264,161.40659340000002,0.25747799600000004,455.98901100000006,0.5664415629999999,1.153860858,0.515105091,0.062645068,0.068519519,0.09938196,0.226741243,0.057817300999999995,0.062645068,0.025046127,0.09938196,0.059461149000000005,0.057817300999999995,0.08943295400000001,0.07784714,0.043473392,1.081546654,0.0,0.303596472,8.978937351,0.647014099,1.443444068,6.888479182999999,37.56548865,1.719861406,5.645636071,1.612665125,30.88873825,11.58439585,-99999.0,-99999.0,-99999.0,7398.274725,-99999.0,0.010989011000000002,0.575118241,0.010989011000000002,0.710007171,-99999.0,-99999.0,-99999.0,-99999.0,7.186813187,1.0,5.67032967,18863.54315,17426181.37
1017,Chambers County,Alabama,23823.54545,10179542457.0,10179542457.0,954245.4545,2.575757576,122.0,29300.0,103600.0,47543.0,44986.0,11696.49577,127.0820324,11569.41374,11568.86959,1025.030303,514.5757576000001,409.57575760000003,0.591363636,29.96969697,0.072884005,134.84848480000002,0.340796307,244.75757579999998,0.586319688,451.7878788,112.21212120000001,194.0606061,145.5151515,0.250211108,256.1818182,0.42577257399999996,0.808605183,0.21112399,0.038931827999999995,0.034230015,0.027838799999999997,0.095928247,0.014195099999999999,0.038931827999999995,0.013159101999999999,0.027838799999999997,0.031377371,0.014195099999999999,0.025633824,0.038917053,0.021070914,0.6368965639999999,0.0,0.38404705,6.940231395,0.273574292,1.328083724,5.338573379,29.20068527,0.543967304,5.808889501,0.8915724540000001,25.85792045,7.187350576,-99999.0,-99999.0,-99999.0,5778.363636,-99999.0,0.009864200000000002,0.407665149,0.011081635,0.48651710299999995,-99999.0,-99999.0,-99999.0,-99999.0,6.0,1.0,5.621212121,26285.4985,47335071.66
1019,Cherokee County,Alabama,22670.68421,10199558848.0,10199558848.0,955884.5789,2.157894737,,,0.0,0.0,0.0,20209.29018,1564.641648,18644.648530000002,17958.7711,1360.684211,870.0526315999999,558.2105263,0.551368421,22.89473684,0.041142486,144.5789474,0.25226220000000005,390.7368421,0.7065953140000001,462.1578947,105.8947368,190.63157890000002,165.63157890000002,0.230650845,270.9473684,0.09700084199999999,0.142335673,0.052399731,0.007747176,0.004029283,0.014798515,0.020900315,0.004924442,0.007747176,0.0019745739999999998,0.014798515,0.004314388,0.004924442,0.007784721999999999,0.008801205,0.002054709,0.149400573,0.0,0.197710802,3.178465079,0.22848477600000003,1.956519092,0.99346121,5.583332026,0.615380837,4.402727255,0.43640148700000003,2.680597863,0.422352685,-99999.0,-99999.0,-99999.0,2616.684211,-99999.0,0.0,0.0,0.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,3.526315789,1.0,4.192982456,48392.70926,81785884.29
